StationCast	"Section Name"	Lat	Lon	Date	Time	"Bottom Depth"
S001C01	"BS1"	65.6193	-168.150	20230617	0744	26
S002C01	"BS2"	65.6483	-168.272	20230617	0857	26
S003C01	"BS3"	65.6733	-168.370	20230617	0957	51
S004C01	"BS4"	65.6942	-168.463	20230617	1059	54
S005C01	"BS5"	65.7160	-168.559	20230617	1200	52
S006C01	"BS6"	65.7402	-168.656	20230617	1305	52
S007C01	"BS7"	65.7655	-168.742	20230617	1449	52
S008C01	"BS8"	65.7825	-168.835	20230617	1624	48
S009C01	"CN1-1"	70.3930	-161.634	20230619	1620	16
S010C01	"CN1-2"	70.4540	-161.646	20230619	1801	23
S011C01	"CN1-3"	70.5397	-161.641	20230619	2034	27
S012C01	"CN1-4"	70.6367	-161.691	20230619	2242	40
S013C01	"CN2-5"	70.7125	-161.716	20230619	2355	41
S014C01	"CN2-6"	70.8010	-161.698	20230620	0240	43
S015C01	"CN2-7"	70.8893	-161.571	20230620	1503	43
S015C02	"CN2-7"	70.8830	-161.354	20230620	2317	44
S015C03	"CN2-7"	70.8845	-161.310	20230621	0105	44
S016C01	"HR1-1"	70.7053	-165.540	20230622	0018	43
S017C01	"HR1-2"	70.8222	-165.415	20230622	0410	43
S018C01	"HR1-3"	70.9340	-165.167	20230622	0637	41
S019C01	"HR1-4"	71.0642	-165.016	20230622	0859	43
S020C01	"HR1-5"	71.1840	-164.848	20230622	1258	46
S021C01	"HR1-6"	71.2745	-164.577	20230623	0023	45
S022C01	"HR1-7"	71.4143	-164.432	20230623	0632	45
S023C01	"HR1-8"	71.5402	-164.291	20230623	1215	44
S024C01	"T002 Trap Recovery"	70.6178	-165.744	20230624	1342	44
S025C01	"HRE1-1"	70.2783	-163.615	20230624	1935	32
S026C01	"HRE1-2"	70.4085	-163.535	20230624	2156	35
S027C01	"HRE1-3"	70.5417	-163.458	20230625	0031	38
S028C01	"HRE1-4"	70.6732	-163.383	20230625	0220	44
S029C01	"HRE1-5"	70.8067	-163.286	20230625	0405	45
S029C02	"HRE1-5"	70.8092	-163.269	20230625	0518	45
S030C01	"HRE1-6"	70.9280	-163.253	20230625	0721	45
S031C01	"HRE1-7"	71.0662	-163.146	20230625	1200	45
S032C01	"HRE1-8"	71.1787	-163.023	20230625	2119	45
S033C01	"HRE1-9"	71.3223	-163.025	20230626	0320	45
S034C01	"CNS1"	71.3633	-163.427	20230626	1117	45
S035C01	"CNS2"	71.3947	-163.914	20230626	1818	46
S036C01	"HR2-8"	71.5413	-164.252	20230627	0156	44
S037C01	"HR2-9"	71.6752	-164.026	20230627	0716	38
S038C01	"HR2-7"	71.4212	-164.416	20230627	1505	44
S039C01	"HR2-6"	71.3097	-164.624	20230627	2230	45
